dataset,scheme,poly_mod_degree,batch,samples,run,enc_latency_ms,exec_latency_ms,dec_latency_ms,ct_size_kb,mae
dataset2,BFV,4096,batch_a,100,1,131.3976,2.9743,0.8471,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,2,130.3443,2.7442,0.8484,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,3,129.9234,2.7046,0.7497,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,4,126.7501,2.7674,0.7202,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,5,125.2989,2.6893,0.7044,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,6,135.7253,2.7986,0.703,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,7,123.7271,2.5516,1.1889,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,8,121.6792,2.6923,0.718,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,9,122.6526,2.5972,1.3628,128.1104,4.39e-06
dataset2,BFV,4096,batch_a,100,10,126.5847,2.5954,0.7263,128.1104,4.39e-06
dataset2,BFV,4096,batch_b,400,1,487.7304,10.2526,0.7022,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,2,483.7979,10.2609,0.9969,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,3,484.3098,10.9515,0.7346,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,4,493.2676,10.2167,0.7153,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,5,473.4185,10.1026,0.7003,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,6,492.9887,10.2129,0.7202,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,7,483.3832,10.4018,0.7808,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,8,492.5461,10.1501,0.712,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,9,493.3143,10.6741,0.6849,128.1104,2.14e-06
dataset2,BFV,4096,batch_b,400,10,490.311,10.3708,0.6959,128.1104,2.14e-06
dataset2,BFV,4096,batch_c,1129,1,1375.9093,28.5388,0.7032,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,2,1367.3897,30.4701,0.7763,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,3,1377.0258,28.8548,0.9134,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,4,1391.1066,29.3877,0.7,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,5,1369.8613,29.0496,0.6908,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,6,1374.1846,28.8687,0.7065,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,7,1389.3401,29.3983,0.7009,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,8,1385.3964,29.8982,0.685,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,9,1369.5384,29.3637,0.7374,128.1104,1.21e-06
dataset2,BFV,4096,batch_c,1129,10,1370.3006,29.2692,0.7344,128.1104,1.21e-06
dataset2,BFV,8192,batch_a,100,1,342.2464,9.6412,2.7784,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,2,358.5706,9.6213,2.634,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,3,342.3194,9.4621,2.2812,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,4,413.0264,13.9559,2.4575,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,5,357.4786,11.4379,2.4286,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,6,367.0133,12.1421,2.4273,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,7,350.3176,10.0827,2.9326,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,8,334.0233,9.1287,2.7339,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,9,361.4899,9.6852,2.3575,512.1104,4.39e-06
dataset2,BFV,8192,batch_a,100,10,342.6935,9.6554,2.3748,512.1104,4.39e-06
dataset2,BFV,8192,batch_b,400,1,1413.9187,43.2069,2.6374,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,2,1588.8404,60.9295,3.4959,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,3,1607.3156,56.926,4.2437,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,4,1531.1012,53.9328,2.5206,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,5,1460.4709,46.6592,2.4775,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,6,1509.3889,50.2475,2.6909,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,7,1472.9446,47.4733,2.8042,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,8,1544.6128,52.9785,2.7866,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,9,1501.4311,51.4337,2.7409,512.1104,2.14e-06
dataset2,BFV,8192,batch_b,400,10,1490.1321,50.9717,2.8859,512.1104,2.14e-06
dataset2,BFV,8192,batch_c,1129,1,4343.6324,149.2702,3.3793,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,2,3834.5793,109.194,2.3599,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,3,3827.7222,108.5892,2.3627,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,4,3878.6686,108.9796,2.3071,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,5,3845.8537,108.4706,2.4067,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,6,3827.2506,109.6132,2.3226,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,7,3856.9359,108.952,2.4919,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,8,3833.3834,107.8079,2.3282,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,9,3847.0812,109.4616,2.322,512.1104,1.21e-06
dataset2,BFV,8192,batch_c,1129,10,3858.5519,109.1866,2.3207,512.1104,1.21e-06
dataset2,BFV,16384,batch_a,100,1,1167.4093,50.7985,10.3861,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,2,1171.7412,47.1138,10.1009,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,3,1187.2928,47.4505,10.2326,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,4,1184.5568,46.9981,9.3268,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,5,1173.8801,49.5063,10.0918,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,6,1183.947,47.7774,10.0298,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,7,1183.4191,47.4958,9.8191,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,8,1184.3505,47.394,10.1398,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,9,1183.3148,47.3572,10.1787,2048.1104,4.39e-06
dataset2,BFV,16384,batch_a,100,10,1176.4329,48.7698,9.4043,2048.1104,4.39e-06
dataset2,BFV,16384,batch_b,400,1,4718.3826,203.1236,9.4662,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,2,4695.9065,193.7009,9.2778,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,3,4776.2507,204.7356,9.3642,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,4,4716.3629,196.012,9.2665,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,5,4693.3818,196.4295,9.6751,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,6,4669.4746,189.7486,9.1439,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,7,4726.4446,197.1604,11.0366,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,8,4676.5451,189.6278,10.2992,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,9,4750.6554,199.7215,9.6244,2048.1104,2.14e-06
dataset2,BFV,16384,batch_b,400,10,4687.325,195.5622,9.5424,2048.1104,2.14e-06
dataset2,BFV,16384,batch_c,1129,1,13070.6531,557.7763,10.3243,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,2,14142.3096,650.0455,13.4265,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,3,14654.5548,705.3769,9.9934,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,4,14231.0735,636.4305,8.9543,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,5,14440.2381,634.2878,9.2434,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,6,13822.2619,602.0127,10.1505,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,7,14364.5105,634.5916,11.032,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,8,13746.9167,601.2827,9.794,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,9,13716.4038,600.4067,9.885,2048.1104,1.21e-06
dataset2,BFV,16384,batch_c,1129,10,13774.6529,606.5968,10.1502,2048.1104,1.21e-06
