dataset,scheme,poly_mod_degree,batch,samples,run,enc_latency_ms,exec_latency_ms,dec_latency_ms,ct_size_kb,mae
dataset2,CKKS,8192,batch_a,100,1,461.3896,621.5767,0.9095,244.333,9.22e-06
dataset2,CKKS,8192,batch_a,100,2,442.8712,613.4887,0.8569,243.4062,9.2e-06
dataset2,CKKS,8192,batch_a,100,3,439.5993,607.157,0.8526,243.8643,9.15e-06
dataset2,CKKS,8192,batch_a,100,4,435.3198,606.5045,0.8753,244.8301,9.16e-06
dataset2,CKKS,8192,batch_a,100,5,445.1594,610.8684,1.2633,243.6592,9.01e-06
dataset2,CKKS,8192,batch_a,100,6,440.2048,608.1851,0.8364,243.4951,9.14e-06
dataset2,CKKS,8192,batch_a,100,7,436.8228,609.404,0.8604,244.8418,9.27e-06
dataset2,CKKS,8192,batch_a,100,8,453.3284,608.714,0.86,245.3086,9.12e-06
dataset2,CKKS,8192,batch_a,100,9,439.7396,609.0417,0.8639,244.7871,9.2e-06
dataset2,CKKS,8192,batch_a,100,10,433.3229,620.9005,0.8792,244.248,9.1e-06
dataset2,CKKS,8192,batch_b,400,1,1696.0649,622.2547,0.8766,243.7725,8.86e-06
dataset2,CKKS,8192,batch_b,400,2,1694.9651,621.348,0.853,243.9697,8.75e-06
dataset2,CKKS,8192,batch_b,400,3,1699.6499,625.8263,0.8141,243.5029,8.86e-06
dataset2,CKKS,8192,batch_b,400,4,1875.6843,663.4532,0.9551,243.7432,8.87e-06
dataset2,CKKS,8192,batch_b,400,5,1868.4767,660.749,0.9683,245.1045,8.73e-06
dataset2,CKKS,8192,batch_b,400,6,1852.2376,660.6431,1.0813,244.2871,8.89e-06
dataset2,CKKS,8192,batch_b,400,7,1845.0125,680.0074,1.0641,244.9854,8.76e-06
dataset2,CKKS,8192,batch_b,400,8,1902.2912,683.0477,0.8997,244.1836,8.79e-06
dataset2,CKKS,8192,batch_b,400,9,1878.838,638.4311,1.1135,245.498,8.73e-06
dataset2,CKKS,8192,batch_b,400,10,1874.3638,665.473,0.8653,243.7402,8.63e-06
dataset2,CKKS,8192,batch_c,1129,1,5010.7379,682.3093,0.8085,244.2119,8.94e-06
dataset2,CKKS,8192,batch_c,1129,2,4953.5779,691.0563,0.8462,245.5137,8.84e-06
dataset2,CKKS,8192,batch_c,1129,3,5063.5191,695.2112,0.9194,244.5938,8.88e-06
dataset2,CKKS,8192,batch_c,1129,4,4944.2091,756.4744,1.0916,244.3496,8.93e-06
dataset2,CKKS,8192,batch_c,1129,5,5125.8816,707.7831,0.9457,243.6133,8.82e-06
dataset2,CKKS,8192,batch_c,1129,6,5256.4183,776.6111,0.9873,245.4707,8.94e-06
dataset2,CKKS,8192,batch_c,1129,7,5309.1381,722.5585,0.9203,244.0176,8.93e-06
dataset2,CKKS,8192,batch_c,1129,8,5412.4644,793.1256,1.4129,244.7275,8.82e-06
dataset2,CKKS,8192,batch_c,1129,9,5581.9814,747.8819,1.0154,245.5215,8.98e-06
dataset2,CKKS,8192,batch_c,1129,10,5600.6702,729.3559,0.9835,243.9424,8.82e-06
dataset2,CKKS,16384,batch_a,100,1,1415.5335,2965.917,3.2854,768.3965,1.817e-05
dataset2,CKKS,16384,batch_a,100,2,1249.084,2789.4788,3.808,768.4414,1.845e-05
dataset2,CKKS,16384,batch_a,100,3,1283.1785,2815.1044,3.1822,768.3496,1.809e-05
dataset2,CKKS,16384,batch_a,100,4,1222.6094,2751.7704,3.7035,768.3105,1.833e-05
dataset2,CKKS,16384,batch_a,100,5,1207.6306,2759.0064,3.1698,768.3037,1.81e-05
dataset2,CKKS,16384,batch_a,100,6,1239.1322,2781.2101,3.2908,771.5527,1.855e-05
dataset2,CKKS,16384,batch_a,100,7,1226.9318,2802.6211,3.1735,771.0166,1.817e-05
dataset2,CKKS,16384,batch_a,100,8,1188.4757,2773.2478,3.1577,771.0713,1.828e-05
dataset2,CKKS,16384,batch_a,100,9,1237.1761,2820.0204,3.4899,769.3496,1.842e-05
dataset2,CKKS,16384,batch_a,100,10,1206.3084,2805.6129,3.6231,769.375,1.809e-05
dataset2,CKKS,16384,batch_b,400,1,5029.9165,2855.5474,3.604,768.2783,1.742e-05
dataset2,CKKS,16384,batch_b,400,2,5054.5229,3001.8008,3.3219,771.7324,1.759e-05
dataset2,CKKS,16384,batch_b,400,3,5035.1743,2759.4104,3.2846,768.4756,1.766e-05
dataset2,CKKS,16384,batch_b,400,4,4942.8171,2948.1779,3.6494,771.5088,1.745e-05
dataset2,CKKS,16384,batch_b,400,5,4829.8894,2836.4393,3.5758,771.7295,1.747e-05
dataset2,CKKS,16384,batch_b,400,6,4955.4164,2786.5071,3.4049,771.3486,1.78e-05
dataset2,CKKS,16384,batch_b,400,7,4749.1331,2775.5856,3.1358,771.0811,1.746e-05
dataset2,CKKS,16384,batch_b,400,8,4987.4549,2875.9746,3.3317,771.6045,1.749e-05
dataset2,CKKS,16384,batch_b,400,9,4945.1907,2859.0611,3.3415,771.0889,1.752e-05
dataset2,CKKS,16384,batch_b,400,10,4885.6579,2838.4751,3.4542,770.3379,1.769e-05
dataset2,CKKS,16384,batch_c,1129,1,13963.4541,2974.0762,3.2399,770.8789,1.796e-05
dataset2,CKKS,16384,batch_c,1129,2,14440.5016,3035.5487,3.2791,770.5166,1.744e-05
dataset2,CKKS,16384,batch_c,1129,3,14808.3765,2997.9159,3.347,768.3809,1.775e-05
dataset2,CKKS,16384,batch_c,1129,4,13989.1707,3024.0145,3.3106,768.1201,1.76e-05
dataset2,CKKS,16384,batch_c,1129,5,13936.4499,3037.2403,3.2589,771.5068,1.793e-05
dataset2,CKKS,16384,batch_c,1129,6,14042.5576,3023.3661,3.4117,771.2334,1.755e-05
dataset2,CKKS,16384,batch_c,1129,7,13360.1898,3005.8427,3.6813,771.6416,1.791e-05
dataset2,CKKS,16384,batch_c,1129,8,13832.0388,3049.7916,3.2904,771.1152,1.78e-05
dataset2,CKKS,16384,batch_c,1129,9,14130.5597,2984.1112,3.5989,770.7646,1.754e-05
dataset2,CKKS,16384,batch_c,1129,10,13889.8999,3045.7016,3.3282,768.25,1.787e-05
