dataset,scheme,poly_mod_degree,batch,samples,run,enc_latency_ms,exec_latency_ms,dec_latency_ms,ct_size_kb,mae
dataset1,BFV,8192,batch_c,801,7,2946.1731,91.1339,7.1913,512.1104,2.49e-06
dataset1,BFV,8192,batch_c,801,8,2902.4833,87.8979,6.2972,512.1104,2.49e-06
dataset1,BFV,8192,batch_c,801,9,2841.1497,84.8443,8.7812,512.1104,2.49e-06
dataset1,BFV,8192,batch_c,801,10,3058.0805,101.6627,6.452,512.1104,2.49e-06
dataset1,BFV,16384,batch_a,100,1,1194.9097,56.6654,25.4221,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,2,1264.0442,53.4837,26.8617,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,3,1235.8524,53.4122,43.1267,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,4,1397.4783,68.8685,25.2576,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,5,1244.1003,52.2108,24.8699,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,6,1189.8506,49.2547,25.0135,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,7,1201.7794,49.8947,23.0708,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,8,1147.1596,44.1901,25.5627,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,9,1153.9551,46.0422,25.3329,2048.1104,7.08e-06
dataset1,BFV,16384,batch_a,100,10,1171.2718,47.6132,29.04,2048.1104,7.08e-06
dataset1,BFV,16384,batch_b,400,1,4750.868,197.3228,24.4476,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,2,4626.1659,194.2228,24.3261,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,3,4574.6547,184.5479,24.1652,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,4,4597.1498,188.7583,23.1863,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,5,4688.1194,192.4598,22.7677,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,6,4613.7539,189.8199,23.4882,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,7,4580.7584,184.7026,23.5277,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,8,4706.6953,198.8884,23.7644,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,9,4726.7497,202.473,23.5077,2048.1104,3.62e-06
dataset1,BFV,16384,batch_b,400,10,4634.7485,193.6892,23.5489,2048.1104,3.62e-06
dataset1,BFV,16384,batch_c,801,1,9143.0502,374.0369,23.1329,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,2,9161.4356,374.566,24.2151,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,3,9085.6776,370.4668,24.2193,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,4,9141.4549,376.8379,22.9416,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,5,9059.5501,379.4472,23.5877,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,6,9030.5509,369.2861,22.6751,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,7,9018.7028,375.8039,23.1885,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,8,9023.1214,372.1335,22.8142,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,9,9016.7972,374.6874,23.4355,2048.1104,2.49e-06
dataset1,BFV,16384,batch_c,801,10,9029.1086,372.0807,23.0188,2048.1104,2.49e-06
